locus,gene,protein ID,gene length,mass fractions
b1704,aroH,P00887,1047,0.000199063
b3390,aroK,P0A6D7,522,0.00044806
b0388,aroL,P0A6E1,525,7.40E-05
b0390,aroM,P0AE28,678,0
b0112,aroP,P15993,1374,0.000421931
b4017,arpA,P23325,2187,0
b1720,arpB_1,P76205,474,0
b1721,arpB_2,,1416,0
b3502,arsB,P0AB93,1290,0
b3503,arsC,P0AB96,426,0
b3501,arsR,P37309,354,0
b0863,artI,P30859,732,0.000426574
b0860,artJ,P30860,732,0.00177464
b0861,artM,P0AE30,669,0
b0864,artP,P0AAF6,729,0.000112975
b0862,artQ,P0AE34,717,0
b2716,ascB,P24240,1425,0
b2715,ascF,P24241,1458,0
b2714,ascG,P24242,1011,0
b3433,asd,P0A9Q9,1104,0.002007013
b3801,aslA,P25549,1656,0
b3800,aslB,P25550,1236,0
b2064,asmA,P28249,1854,5.20E-05
b3744,asnA,P00963,993,0.000300531
b0674,asnB,P22106,1665,0.000731978
b3743,asnC,P0ACI6,459,2.30E-05
b0930,asnS,P0A8M0,1401,0.001667979
b4139,aspA,P0AC38,1437,6.71E-05
b0928,aspC,P00509,1191,0.002664786
b1866,aspS,P21889,1773,0.00109979
b1597,asr,P36560,309,0
b1747,astA,P0AE37,1035,0
b1745,astB,P76216,1344,0
b1748,astC,P77581,1221,0
b1746,astD,P76217,1479,0
b1744,astE,P76215,969,0
b0454,atl,P0AFP2,390,0
b2222,atoA,P76459,651,0
b2224,atoB,P76461,1185,0
b2220,atoC,Q06065,1386,0
b2221,atoD,P76458,663,0
b2223,atoE,P76460,1323,0
b2219,atoS,Q06067,1827,0
b3734,atpA,P0ABB0,1542,0.004834708
b3738,atpB,P0AB98,816,0.000101713
b3731,atpC,P0A6E6,420,0.0005123
b3732,atpD,P0ABB4,1383,0.003746383
b3737,atpE,P68699,240,0.000915087
b3736,atpF,P0ABA0,471,0.000669238
b3733,atpG,P0ABA6,864,0.000839629
b3735,atpH,P0ABA4,534,0.000437768
b3739,atpI,P0ABC0,381,0
b3572,avtA,P09053,1254,0.000289511
b1412,azoR,P41407,606,0.000140745
b4663,azuC,C1P605,87,0
b3057,bacA,P60932,822,0
b2079,baeR,P69228,723,3.94E-05
b2078,baeS,P30847,1404,7.98E-06
b0177,bamA,P0A940,2433,0.001062319
b2512,bamB,P77774,1179,0.000408538
b2477,bamC,P0A903,1035,0.000374371
b2595,bamD,P0AC02,738,0.000428531
b2617,bamE,P0A937,342,0.000156389
b2786,barA,P0AEC5,2757,3.73E-05
b4113,basR,P30843,669,0.000374658
b4112,basS,P30844,1092,6.23E-05
b3570,bax,P27297,825,0
b2480,bcp,P0AE52,471,0.000558521
b2182,bcr,P28246,1191,2.42E-05
b3533,bcsA,P37653,2619,0
b3532,bcsB,P37652,2340,4.93E-05
b3530,bcsC,P37650,3474,1.33E-05
b3536,bcsE,P37657,1572,0
b3537,bcsF,P0ADJ5,192,0
b3538,bcsG,P37659,1680,0
b3534,bcsQ,P37655,729,0
b3531,bcsZ,P37651,1107,1.88E-05
b4249,bdcA,P39333,714,0
b4251,bdcR,P39334,594,2.91E-05
b1481,bdm,P76127,216,0
b2494,bepA,P66948,1464,8.27E-05
b0311,betA,P17444,1671,0
b0312,betB,P17445,1473,0.000100925
b0313,betI,P17446,588,0
b0314,betT,P0ABC9,2034,0.000137602
b3337,bfd,P0AE56,195,0
b3336,bfr,P0ABD3,477,4.07E-05
b2901,bglA,Q46829,1440,0.00031208
b3721,bglB,P11988,1413,0
b3722,bglF,P08722,1878,0
b3723,bglG,P11989,837,0
b3720,bglH,P26218,1617,0
b4366,bglJ,P39404,678,0
b2132,bglX,P33363,2298,0.000177368
b1112,bhsA,P0AB40,258,0
b0774,bioA,P12995,1290,7.74E-05
b0775,bioB,P12996,1041,0.000435029
b0777,bioC,P12999,756,3.39E-05
b0778,bioD,P13000,678,7.40E-05
b0776,bioF,P12998,1155,2.68E-05
b3412,bioH,P13001,771,2.61E-05
b3871,bipA,P32132,1824,0.001714465
b3973,birA,P06709,966,4.53E-05
b3551,bisC,P20099,2334,7.94E-05
b4149,blc,P0A901,534,0
b4409,blr,P56976,126,0
b1163,bluF,P75990,1212,0
b1162,bluR,P75989,732,4.64E-05
b0435,bolA,P0ABE2,318,6.04E-05
b0557,borD,P77330,294,0.001741439
b0401,brnQ,P0AD99,1320,0
b4189,bsmA,P39297,330,0
b0836,bssR,P0AAY1,384,0
b1060,bssS,P0AB33,255,0
b3966,btuB,P06129,1845,0.000425993
b1711,btuC,P06609,981,0
b1709,btuD,P06611,750,2.08E-05
b1710,btuE,P06610,552,7.12E-05
b0158,btuF,P37028,801,0
b1270,btuR,P0A9H5,591,3.56E-05
b4131,cadA,P0A9H3,2148,0
b4132,cadB,P0AAE8,1335,0
b4133,cadC,P23890,1539,0
b0039,caiA,P60584,1143,0
b0038,caiB,P31572,1218,0
b0037,caiC,P31552,1554,0
b0036,caiD,P31551,786,0
b0035,caiE,P39206,591,0
b0034,caiF,P0AE58,396,0
b0040,caiT,P31553,1515,0
b0126,can,P61517,663,0.00081262
b0032,carA,P0A6F1,1149,0.001122896
b0033,carB,P00968,3222,0.003172892
b2755,cas1,Q46896,918,0
b2754,cas2,P45956,285,0
b2761,cas3,P38036,2667,0
b2760,casA,Q46901,1509,0
b2759,casB,P76632,483,0
b2758,casC,Q46899,1092,0
b2757,casD,Q46898,675,0
b2756,casE,Q46897,600,0
b2004,cbeA,P76364,369,0
b1987,cbl,Q47083,951,0.000102364
b1000,cbpA,P36659,921,6.95E-05
b0999,cbpM,P63264,306,0
b3690,cbrA,P31456,1065,0
b3716,cbrB,P31468,468,0
b3717,cbrC,P31469,588,0
b2005,cbtA,P64524,375,0
b3056,cca,P06961,1239,3.64E-05
b2201,ccmA,P33931,624,0
b2200,ccmB,P0ABL8,663,0
b2199,ccmC,P0ABM1,738,0
b2198,ccmD,P0ABM5,210,0
b2197,ccmE,P69490,480,1.96E-05
b2196,ccmF,P33927,1944,0
b2195,ccmG,P0AA86,558,0
b2194,ccmH,P0ABM9,1053,0
b0162,cdaR,P37047,1158,0
b2143,cdd,P0ABF6,885,3.95E-05
b1785,cdgI,P76236,1476,0
b3918,cdh,P06282,756,2.36E-05
b0175,cdsA,P0ABG1,858,5.34E-05
b1731,cedA,P0AE60,243,1.16E-05
b1661,cfa,P0A9H7,1149,0.000286428
b1216,chaA,P31801,1101,0
b1217,chaB,P0AE63,231,0
b1218,chaC,P39163,717,0
b1736,chbA,P69791,351,0
b1738,chbB,P69795,321,0
b1737,chbC,P17334,1359,0
b1734,chbF,P17411,1353,0
b1733,chbG,P37794,750,0
b1735,chbR,P17410,843,0
b1888,cheA,P07363,1965,0.000943033
b1883,cheB,P07330,1050,0.000174121
b1884,cheR,P07364,861,9.13E-05
b1887,cheW,P0A964,504,0.001009216
b1882,cheY,P0AE67,390,0.000799385
b1881,cheZ,P0A9H9,645,0.000643637
b3338,chiA,P13656,2694,0
b0681,chiP,P75733,1407,0
b1741,cho,P76213,888,0
b4225,chpB,P33647,351,1.41E-05
b4224,chpS,P08365,252,0
b2155,cirA,P17315,1992,2.12E-05
b0618,citC,P77390,1059,0
b0617,citD,P69330,297,0
b0616,citE,P0A9I1,909,0
b0615,citF,P75726,1533,0
b0613,citG,P77231,879,0
b0612,citT,P0AE74,1464,0
b0614,citX,P0A6G5,552,0
b0155,clcA,P37019,1422,0
b1592,clcB,P76175,1257,5.32E-06
b0882,clpA,P0ABH9,2277,0.001019469
b2592,clpB,P63284,2574,0.000785102
b0437,clpP,P0A6G7,624,0.000400673
b0881,clpS,P0A8Q6,321,0
b0438,clpX,P0A6H1,1275,0.000745666
b1249,clsA,P0A6H8,1461,8.13E-05
b0789,clsB,P0AA84,1242,0
b1046,clsC,P75919,1422,0
b0910,cmk,P0A6I0,684,7.86E-05
b1870,cmoA,P76290,744,6.09E-05
b1871,cmoB,P76291,972,5.70E-05
b0921,cmoM,P36566,786,0
b2933,cmtA,P69826,1389,0
b2934,cmtB,P69824,444,0
b1625,cnu,P64467,216,2.40E-05
b3974,coaA,P0A6I3,951,9.78E-05
b3634,coaD,P0A6I6,480,3.90E-05
b0103,coaE,P0A6I9,621,1.88E-05
b1120,cobB,P75960,840,0.000125385
b0638,cobC,P52086,612,0
b1992,cobS,P36561,744,3.43E-05
b1991,cobT,P36562,1080,3.52E-05
b1993,cobU,P0AE76,546,0
b0337,codA,P25524,1284,0.000295444
b0336,codB,P0AA82,1260,0.000137369
b0446,cof,P46891,819,0
b1111,comR,P75952,633,6.58E-05
b0484,copA,Q59385,2505,0.000514578
b3816,corA,P0ABI4,951,8.50E-05
b3032,cpdA,P0AEW4,828,4.35E-05
b4213,cpdB,P08331,1944,0.000122144
b0742,cpoB,P45955,792,0.000342677
b2049,cpsB,P24174,1437,0
b2048,cpsG,P24175,1371,0.00012414
b2896,cptA,Q46824,408,0
b3911,cpxA,P0AE82,1374,3.56E-05
b4484,cpxP,P0AE85,501,2.27E-05
b3912,cpxR,P0AE88,699,0.000227977
b0080,cra,P0ACP1,1005,9.82E-05
b0624,crcB,P37002,384,0
b4397,creA,P0AE91,474,6.06E-05
b4398,creB,P08368,690,0
b4399,creC,P08401,1425,0
b4400,creD,P08369,1353,0
b4109,crfC,P0DM85,2229,3.87E-05
b0240,crl,P24251,402,0.000136336
b3357,crp,P0ACJ8,633,0.000527159
b2417,crr,P69783,510,0.001568501
b2810,csdA,Q46925,1206,2.89E-05
b2811,csdE,P0AGF2,444,2.37E-05
b1042,csgA,P28307,456,0
b1041,csgB,P0ABK7,456,0
b1043,csgC,P52107,333,0
b1040,csgD,P52106,651,0
b1039,csgE,P0AE95,390,0
b1038,csgF,P0AE98,417,0
b1037,csgG,P0AEA2,834,0
b2659,csiD,P76621,978,0
b2535,csiE,P54901,1281,0
b2664,csiR,P37338,663,4.95E-05
b3556,cspA,P0A9X9,213,0.000125159
b1557,cspB,P36995,216,0
b1823,cspC,P0A9Y6,210,0.001925763
b0880,cspD,P0A968,225,0.000120205
b0623,cspE,P0A972,210,0.00250795
b1558,cspF,P0A976,213,0
b0990,cspG,P0A978,213,4.29E-06
b0989,cspH,P0A982,213,0
b1552,cspI,P0A986,213,0
b2696,csrA,P69913,186,0
b3252,csrD,P13518,1941,0
b0598,cstA,P15078,2106,0.000166131
b0123,cueO,P36649,1551,0.000673806
b0487,cueR,P0A9G4,408,3.37E-05
b1449,curA,P76113,1038,2.86E-05
b0575,cusA,P38054,3144,2.29E-06
b0574,cusB,P77239,1224,0
b0572,cusC,P77211,1374,0
b0573,cusF,P77214,333,0
b0571,cusR,P0ACZ8,684,2.08E-05
b0570,cusS,P77485,1443,1.12E-05
b4137,cutA,P69488,339,0
b1874,cutC,P67826,747,3.94E-05
b2313,cvpA,P08550,489,0
b1191,cvrA,P76007,1737,3.75E-05
b3806,cyaA,P00936,2547,0.000127535
b3807,cyaY,P27838,321,9.82E-05
b1418,cybB,P0ABE5,531,0
b4208,cycA,P0AAE0,1413,0.000189368
b0733,cydA,P0ABJ9,1569,0.000188947
b0734,cydB,P0ABK2,1140,0.000101107
b0886,cydC,P23886,1722,5.73E-05
b0887,cydD,P29018,1767,6.64E-05
b4515,cydX,P56100,114,0
b0338,cynR,P27111,900,0
b0340,cynS,P00816,471,0
b0339,cynT,P0ABE9,660,0
b0341,cynX,P17583,1155,0
b0432,cyoA,P0ABJ1,948,0.000604082
b0431,cyoB,P0ABI8,1992,0.000957246
b0430,cyoC,P0ABJ3,615,0
b0429,cyoD,P0ABJ6,330,0
b0428,cyoE,P0AEA5,891,0
b2422,cysA,P16676,1098,0.001022093
b1275,cysB,P0A9F3,975,0.000277906
b2750,cysC,P0A6J1,606,0.000192165
b2752,cysD,P21156,909,0.001200815
b3607,cysE,P0A9D4,822,0.000122888
b3368,cysG,P0AEA8,1374,5.70E-05
b2762,cysH,P17854,735,0.000469337
b2763,cysI,P17846,1713,0.001422986
b2764,cysJ,P38038,1800,0.000998445
b2414,cysK,P0ABK5,972,0.005169968
b2421,cysM,P16703,912,0.000369569
b2751,cysN,P23845,1428,0.001465971
b2425,cysP,P16700,1017,0.000708812
b4214,cysQ,P22255,741,8.98E-05
b0526,cysS,P21888,1386,0.000367057
b2424,cysU,P16701,834,0
b2423,cysW,P0AEB0,876,5.39E-05
b2413,cysZ,P0A6J3,762,0
b3934,cytR,P0ACN7,1026,3.37E-05
b0632,dacA,P0AEB2,1212,0.000343448
b3182,dacB,P24228,1434,6.49E-05
b0839,dacC,P08506,1203,0.000166418
b2010,dacD,P33013,1167,1.73E-06
b1189,dadA,P0A6J5,1299,8.18E-05
b1190,dadX,P29012,1071,3.67E-05
b3387,dam,P0AEE8,837,2.88E-05
b3388,damX,P11557,1287,0.000313775
b2478,dapA,P0A6L2,879,0.000589768
b0031,dapB,P04036,822,0.000530558
b0166,dapD,P0A9D8,825,0.002788495
b2472,dapE,P0AED7,1128,0.000104519
b3809,dapF,P0A6K1,825,4.99E-05
b1206,dauA,P0AFR2,1680,1.92E-05
b1343,dbpA,P21693,1374,0
b2065,dcd,P28248,582,0.000168657
b1961,dcm,P0AED9,1419,6.62E-05
b1538,dcp,P24171,2046,0.000408469
b3472,dcrB,P0AEE1,558,0.000162488
b3528,dctA,P0A830,1287,4.35E-05
b3507,dctR,P37195,531,0
b4138,dcuA,P0ABN5,1302,0.000139839
b4123,dcuB,P0ABN9,1341,0
b0621,dcuC,P0ABP3,1386,0
b3227,dcuD,P45428,1368,0
b4124,dcuR,P0AD01,720,0
b4125,dcuS,P0AEC8,1632,0
b1919,dcyD,P76316,987,0.000205673
b0381,ddlA,P0A6J8,1095,0.000127023
b0092,ddlB,P07862,921,7.47E-05
b1487,ddpA,P76128,1551,1.30E-05
b1486,ddpB,P77308,1023,0
b1485,ddpC,P77463,897,0
b1484,ddpD,P77268,987,0
b1483,ddpF,P77622,927,0
b1488,ddpX,P77790,582,0
b3162,deaD,P0A9P6,1890,0.000417952
b2317,dedA,P0ABP6,660,0
b2314,dedD,P09549,663,4.37E-05
b3287,def,P0A6K3,510,0.000128906
b0161,degP,P0C0V0,1425,0.000560456
b3234,degQ,P39099,1368,0.000151384
b3235,degS,P0AEE3,1068,3.44E-05
b4382,deoA,P07650,1323,4.63E-05
b4383,deoB,P0A6K6,1224,0.000172404
b4381,deoC,P0A6L0,780,6.42E-05
b4384,deoD,P0ABP8,720,0.000518658
b0840,deoR,P0ACK5,759,4.11E-05
b2511,der,P0A6P5,1473,0.000250544
b3639,dfp,P0ABQ0,1221,0.000108853
b0385,dgcC,P0AAP1,1116,0
b2067,dgcE,P38097,3318,0
b1522,dgcF,P76147,948,0
b0834,dgcI,P75801,1329,0
b1786,dgcJ,P76237,1491,1.28E-05
b1341,dgcM,P77302,1233,0
b2604,dgcN,P46139,1227,0
b1794,dgcP,P76245,1026,0
b1956,dgcQ,P76330,1695,0
b1025,dgcT,P75908,1359,0
b1535,dgcZ,P31129,891,0
b4042,dgkA,P0ABN1,369,6.39E-05
b4477,dgoA,Q6BF16,618,0
b4478,dgoD,Q6BF17,1149,0
b3693,dgoK,P31459,879,0
b4479,dgoR,P31460,690,3.67E-05
b3691,dgoT,P0AA76,1293,0
b0160,dgt,P15723,1518,1.04E-05
b1200,dhaK,P76015,1071,7.71E-05
b1199,dhaL,P76014,633,6.07E-05
b1198,dhaM,P37349,1419,0.000119643
b1201,dhaR,P76016,1920,0
b3149,diaA,P66817,591,4.70E-05
b1570,dicA,P06966,408,3.88E-05
b1575,dicB,P09557,189,0
b1569,dicC,P06965,231,0
b0231,dinB,Q47155,1056,0
b3645,dinD,P23840,825,0
b4044,dinF,P28303,1380,0
b0799,dinG,P27296,2151,0
b1061,dinI,P0ABR1,246,4.75E-05
b0226,dinJ,Q47150,261,4.32E-05
b4613,dinQ,A5A624,84,0
b0055,djlA,P31680,816,3.37E-05
b0646,djlB,P77381,1428,0
b0649,djlC,P77359,1452,0
b3012,dkgA,Q46857,828,3.89E-05
b0207,dkgB,P30863,804,4.01E-05
b0145,dksA,P0ABS1,456,0.000896688
b2133,dld,P06149,1716,0.000416861
b1800,dmlA,P76251,1086,0
b1799,dmlR,P76250,924,0
b0894,dmsA,P18775,2445,0
b0895,dmsB,P18776,618,0
b0896,dmsC,P18777,864,0
b1591,dmsD,P69853,615,3.49E-05
b3702,dnaA,P03004,1404,0.000125107
b4052,dnaB,P0ACB0,1416,7.87E-05
b4361,dnaC,P0AEF0,738,0
b0184,dnaE,P10443,3483,6.07E-05
b3066,dnaG,P0ABS5,1746,4.89E-05
b0015,dnaJ,P08622,1131,0.000338295
b0014,dnaK,P0A6Y8,1917,0.005735886
b3701,dnaN,P0A988,1101,0.000151419
b0215,dnaQ,P03007,732,0.000136309
b4362,dnaT,P0A8J2,540,1.55E-05
b0470,dnaX,P06710,1932,0.000102572
b1490,dosC,P0AA89,1383,9.99E-06
b1489,dosP,P76129,2400,0
b0620,dpiA,P0AEF4,681,0
b0619,dpiB,P77510,1659,0
b3544,dppA,P23847,1608,0.002969155
b3543,dppB,P0AEF8,1020,9.48E-05
b3542,dppC,P0AEG1,903,7.82E-05
b3541,dppD,P0AAG0,984,0.000125293
b3540,dppF,P37313,1005,0.000142953
b0812,dps,P0ABT2,504,0.000136918
b3860,dsbA,P0AEG4,627,0.000329132
b1185,dsbB,P0A6M2,531,6.64E-05
b2893,dsbC,P0AEG6,711,0.000126508
b4136,dsbD,P36655,1698,0
b0604,dsbG,P77202,747,4.74E-05
b2366,dsdA,P00926,1329,3.22E-05
b2364,dsdC,P46068,936,0
b2365,dsdX,P08555,1338,0
b1952,dsrB,P0AEG8,189,0
b3887,dtd,P0A6M4,438,6.03E-05
b1634,dtpA,P77304,1503,0
b3496,dtpB,P36837,1470,0
b4130,dtpC,P39276,1458,0
b0709,dtpD,P75742,1482,0
b4049,dusA,P32695,1038,6.84E-05
b3260,dusB,P0ABT5,966,3.85E-05
b2140,dusC,P33371,948,0
b3640,dut,P06968,456,0.000183927
b0173,dxr,P45568,1197,4.24E-05
b0420,dxs,P77488,1863,0.000161023
b0297,eaeH,P36943,888,0
b1533,eamA,P31125,900,0
b2578,eamB,P38101,588,0
b3076,ebgA,P06864,3093,0
b3077,ebgC,P0AC73,450,0
b3075,ebgR,P06846,984,1.60E-05
b4410,ecnA,P0ADB4,126,0
b4411,ecnB,P0ADB7,147,8.41E-05
b2209,eco,P23827,489,1.70E-05
b0293,ecpA,P0AAA3,588,0
b0292,ecpB,P77188,669,0
b0291,ecpC,P77802,2526,0
b0290,ecpD,P77694,1644,0
b0289,ecpE,P77263,711,0
b0294,ecpR,P71301,591,0
b1850,eda,P0A955,642,0.000484188
b1851,edd,P0ADF6,1812,4.86E-05
b1019,efeB,P31545,1272,1.67E-05
b1018,efeO,P0AB24,1128,8.16E-05
b1016,efeU_1,,111,0
b4147,efp,P0A6N4,567,0.001211687
b2267,elaA,P0AEH3,462,3.13E-05
b2266,elaB,P0AEH5,306,5.76E-05
b2269,elaD,Q47013,1212,9.04E-07
b3209,elbB,P0ABU5,654,0.000155452
b0938,elfA,P75855,540,0
b0940,elfC,P75857,2601,0
b0939,elfD,P75856,702,0
b0941,elfG,P75858,1071,0
b0920,elyC,P0AB01,780,1.10E-05
b2685,emrA,P27303,1173,9.86E-05
b2686,emrB,P0AEJ0,1539,0
b3673,emrD,P31442,1185,0
b0543,emrE,P23895,333,0
b2368,emrK,P52599,1164,0
b2367,emrY,P52600,1539,0
b1193,emtA,P0C960,612,7.53E-05
b2945,endA,P25736,708,0
b2779,eno,P0A6P9,1299,0.006806683
b0596,entA,P15047,747,4.59E-06
b0595,entB,P0ADI4,858,7.84E-06
b0593,entC,P0AEJ2,1176,1.47E-05
b0583,entD,P19925,621,0
b0594,entE,P10378,1611,8.62E-06
b0586,entF,P11454,3882,1.97E-05
b0597,entH,P0A8Y8,414,1.67E-05
b0591,entS,P24077,1251,0
b3613,envC,P37690,1260,3.68E-05
b3264,envR,P0ACT2,663,0
b0566,envY,P10805,762,0
b3404,envZ,P0AEJ4,1353,4.64E-05
b2927,epd,P0A9B6,1020,8.26E-05
b4155,epmA,P0A8N7,978,2.50E-05
b4146,epmB,P39280,1029,4.49E-05
b2326,epmC,P76938,549,0
b4114,eptA,P30845,1644,8.81E-05
b3546,eptB,P37661,1692,0
b3955,eptC,P0CB39,1734,0.000476477
b2566,era,P06616,906,0.000177751
b0156,erpA,P0ACC3,345,0.000406352
b0554,essD,P0A9R2,216,0
b1556,essQ,P77237,216,0
b0981,etk,P38134,2181,0
b0982,etp,P0ACZ2,447,0
b4391,ettA,P0A9W3,1668,0.000804984
b2451,eutA,P76551,1404,0
b2441,eutB,P0AEJ6,1362,3.84E-05
b2440,eutC,P19636,888,1.92E-05
b2458,eutD,P77218,1017,0
b2455,eutE,P77445,1404,0
b2453,eutG,P76553,1188,0
b2452,eutH,P76552,1227,0
b2454,eutJ,P77277,837,0
b2438,eutK,P76540,501,0
b2439,eutL,P76541,660,2.52E-05
b2457,eutM,P0ABF4,294,3.78E-06
b2456,eutN,P0AEJ8,288,0
b2461,eutP,P76556,480,0
b2460,eutQ,P76555,702,0
b2437,eutR,P36547,1053,0
b2462,eutS,P63746,336,0
b2459,eutT,P65643,804,0
b2369,evgA,P0ACZ4,615,4.99E-05
b2370,evgS,P30855,3594,0
b3006,exbB,P0ABU7,735,0.000108354
b3005,exbD,P0ABV2,426,2.34E-05
b1844,exoX,P0AEK0,663,0
b3094,exuR,P0ACL2,777,6.35E-05
b3093,exuT,P0AA78,1299,0
